path	bytes	component	license_scope
.gitattributes	325	author-created software/configuration	MIT
.github/workflows/release-checks.yml	7106	author-created software/configuration	MIT
.gitignore	251	author-created software/configuration	MIT
CHANGELOG.md	917	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
CITATION.cff	1007	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
dependencies/DEPENDENCY_LICENSE_INVENTORY.tsv	34629	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
dependencies/README.md	631	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
docs/ANALYSIS_OPTIONS_GUIDE.md	20894	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
docs/assets/pasa-welcome-banner.png	541334	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
docs/INTERFACE_GUIDE.md	10550	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
docs/RECOVERY_EVIDENCE_SCOPE.md	774	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
docs/REPAIR_BEHAVIOR.md	5329	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
docs/TROUBLESHOOTING.md	14002	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
examples/EXAMPLE_SYNTHETIC_SPECTRA.xlsx	66716	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
examples/EXPECTED_OUTPUTS.md	9358	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
examples/QUICK_START.md	3441	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
LICENSE.md	4956	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
LICENSES/AUTHOR_CC_BY_4_0_NOTICE.md	1673	license reference	As stated in file
LICENSES/CC-BY-4.0.txt	18657	license reference	As stated in file
LICENSES/CC-BY-SA-4.0.txt	20138	license reference	As stated in file
LICENSES/MIT.txt	1088	license reference	As stated in file
privacy_network/DATA_FLOW.md	2443	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
privacy_network/DATA_RETENTION_AND_EXPORTS.md	4743	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
privacy_network/PRIVACY_AND_NETWORK_STATEMENT.md	8987	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
privacy_network/README.md	1067	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
privacy_network/URL_LOADING.md	2721	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
README.md	3446	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
RELEASE_VERIFICATION.md	2021	documentation, artwork, example or metadata	Author CC-BY-4.0 scope; see LICENSE.md
reproducibility/BUILD_DEFAULTS_AND_LIMITS.R	31666	author-created software/configuration	MIT
reproducibility/FREEZE_SOURCE_CHECKSUMS.R	2186	author-created software/configuration	MIT
