"section"	"setting"	"value"	"unit"	"role"	"source_locator"	"evidence_status"	"note"	"release_version"	"pasa_r_sha256"	"deconvolution_module_sha256"	"registry_status"
"Input"	"raw_file_size_max"	"32"	"MiB"	"hard limit"	"PASA.R: INPUT_LIMITS$raw_bytes"	"source-evaluated"	"Whole input is refused above the limit."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Input"	"expanded_table_size_max"	"64"	"MiB"	"hard limit"	"PASA.R: INPUT_LIMITS$expanded_bytes"	"source-evaluated"	"Approximate in-memory table size."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Input"	"sample_columns_max"	"2000"	"columns"	"hard limit"	"PASA.R: INPUT_LIMITS$max_cols"	"source-evaluated"	"Excludes the wavelength column."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Input"	"rows_max"	"500000"	"rows"	"hard limit"	"PASA.R: INPUT_LIMITS$max_rows"	"source-evaluated"	"Whole input is refused above the limit."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Input"	"cells_max"	"4000000"	"cells"	"hard limit"	"PASA.R: INPUT_LIMITS$max_cells"	"source-evaluated"	"Rows multiplied by all columns."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Similarity"	"pair_grid"	"sorted union of both native wavelength grids"	"text"	"contract"	"PASA.R: compute_similarity()/.sim_union_interpolate()"	"static-source-verified"	"Each curve is linearly interpolated on this pair-local grid, then masked to physical overlap and joint measured coverage."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Similarity"	"interpolation"	"linear; no retained endpoint extrapolation"	"text"	"contract"	"PASA.R: .sim_union_interpolate() and coverage mask"	"static-source-verified"	"approx(rule=1) leaves points outside each trace's native span missing; physical-overlap and coverage masks define scored support."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Similarity"	"weighting"	"trapezoidal wavelength weights"	"text"	"contract"	"PASA.R: .sim_trap_weights()"	"source-evaluated"	"Finite-run endpoints receive half-interval weights."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Similarity"	"minimum_overlap"	"40"	"nm"	"refusal threshold"	"PASA.R: compute_similarity()/SIM_MIN_OVERLAP_NM"	"static-source-verified"	"Below this shared span metrics are withheld."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
"Similarity"	"minimum_native_support_per_trace"	"10"	"nodes"	"refusal threshold"	"PASA.R: compute_similarity()/n_min_native"	"static-source-verified"	"Minimum of the two in-range native-node counts."	"1.0.0"	"DB336C9D3F2B99D362B6E59D40FF63619A36C3A4E2477B4B559D4EE0DCBA1C09"	"D21D55B0F9A31165280D04BBBA42FD5F7CA8566FAED2D553E08A50D3262E398F"	"FINAL_SOURCE_VERIFIED"
