Package	Version	Source	Repository	License_Metadata	Usage_Class	Bundled_In_Candidate	Disposition	Notes
AsioHeaders	1.30.2-1	Repository	CRAN	BSL-1.0	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
R6	2.6.1	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
RColorBrewer	1.1-3	Repository	CRAN	Apache License 2.0	optional_or_fallback	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
Rcpp	1.1.2	Repository	CRAN	GPL (>= 2)	transitive	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
RcppArmadillo	15.4.0-1	Repository	CRAN	GPL (>= 2)	transitive	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
RcppEigen	0.3.4.0.2	Repository	CRAN	GPL (>= 2) | file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
Rdpack	2.6.6	Repository	CRAN	GPL (>= 2)	transitive	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
S7	0.2.2	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
V8	8.2.0	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
askpass	1.2.1	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
base64enc	0.1-6	Repository	CRAN	GPL-2 | GPL-3	transitive	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
bigD	0.3.1	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
bitops	1.0-9	Repository	CRAN	GPL (>= 2)	transitive	NO	DRAFT_KEEP_EXTERNAL_COPYLEFT_REVIEW_REQUIRED_BEFORE_BUNDLING	DRAFT. Copyleft metadata from the retained DESCRIPTION; assess exact license-text, notice, compatibility, and corresponding-source duties before any redistribution.
bslib	0.11.0	Repository	CRAN	MIT + file LICENSE	direct_startup	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
cachem	1.1.0	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
cellranger	1.1.0	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
chromote	0.5.1	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
cli	3.6.6	Repository	CRAN	MIT + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
commonmark	2.0.0	Repository	CRAN	BSD_2_clause + file LICENSE	transitive	NO	DRAFT_KEEP_EXTERNAL_PRESERVE_UPSTREAM_NOTICE_IF_BUNDLED	DRAFT. Notice-based or permissive metadata from the retained DESCRIPTION; preserve required upstream copyright and license notices if redistributed.
